dataset,second,normal,attack
Water Bottle Factory,96,24,0
Water Bottle Factory,97,24,0
Water Bottle Factory,98,24,0
Water Bottle Factory,99,24,0
Water Bottle Factory,100,26,0
Water Bottle Factory,101,24,0
Water Bottle Factory,102,24,0
Water Bottle Factory,103,24,0
Water Bottle Factory,104,24,0
Water Bottle Factory,105,24,0
Water Bottle Factory,106,24,0
Water Bottle Factory,107,24,0
Water Bottle Factory,108,24,0
Water Bottle Factory,109,24,0
Water Bottle Factory,110,24,0
Water Bottle Factory,111,24,0
Water Bottle Factory,112,24,0
Water Bottle Factory,113,24,0
Water Bottle Factory,114,24,0
Water Bottle Factory,115,24,0
Water Bottle Factory,116,24,0
Water Bottle Factory,117,24,0
Water Bottle Factory,118,24,0
Water Bottle Factory,119,26,0
Water Bottle Factory,120,0,0
